Nome do Objeto,Modelo,Responsável pela Pesquisa,Tipo do Objeto,Descrição do Objeto,Função/Uso,Ano de Fabricação/Época,Foi importado para o Memória Virtual?,Fabricante,Local de Fabricação/Origem,Estado do Objeto,Localização atual,Situação do Cadastro,É patrimoniável ?,Foi importado para o Memória Virtual?,Número de Patrimônio,Passou pelo CTA,Imagens do Objeto
,"KX-P1124","Os -2 ",Impressoras,"Impressora de impacto com 24 pinos, com velocidade de impressão de até 192 cps. Imprime nas fontes: Draft: Pica, Elite; LQ: Courier, Prestige, Bold PS, Script, Sans Serif. Com resolução máxima de 360 dpi e com vida útil de 100 000 000 de carácteres impressos.","Imprimir rapidamente e em diversas fontes textos diversos com uma alta duração e resolução para a época.",Anos 90,,Panasonic,"Japão",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/4/7/34878_ca_attribute_values_value_blob_4754_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/89099_ca_attribute_values_value_blob_4755_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/75988_ca_attribute_values_value_blob_4756_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/4/7/29991_ca_attribute_values_value_blob_4757_large.jpg' width='700' height='933' />"
,HP 82240A,"Grupo (R)evolução histórica - Ayrton Filho, Isabela Farias, Guilherme Bandeira, Gabriel Abreu",Impressoras,"Esta impressora térmica portátil é um protótipo para a impressora HP 82240A desenvolvida como um acessório para calculadoras portáteis Hewlett-Packard. A conexão com uma calculadora é feita por meio de radiação infravermelha, não por qualquer fio. O objeto tem uma caixa de plástico translúcido. Possui botões liga/desliga, contraste de impressão e avanço de papel. Uma marca na parte inferior esquerda da caixa diz: HP HEWLETT (/) PACKARD.  O filtro infravermelho, uma peça preta na borda frontal da impressora, bloqueia a luz de outras frequências. Um pequeno detector quadrado preto atrás dele detecta a radiação infravermelha. O chip 8050 foi projetado pela Intel, no gabinete tem 256 bytes de RAM e 4096 bytes de ROM. O software na ROM decodifica os sinais, cronometra os circuitos e controla os aquecedores na cabeça de impressão que aquecem o papel térmico por trás dela. Essas mudanças de temperatura causaram mudanças químicas, escurecendo o papel para imprimir letras, números ou gráficos. Dependendo do papel usado, a impressão era azul ou preta. O chip demodulador de infravermelho exigia uma tensão operacional de 5 volts. As quatro baterias da impressora produziram 6,4 volts quando novas, diminuindo com o tempo para cerca de quatro volts. Um chip CMOS no circuito da impressora aumentava a voltagem para cinco volts, mas a impressão podia ser lenta quando as baterias estavam fracas. O uso de um adaptador CA conectado à parede garantiu uma voltagem mais alta para que o motor funcionasse mais rápido e a impressão fosse mais rápida.","Uma impressora térmica que serve para imprimir no papel térmico os resultados obtidos pelas calculadoras da HP, uma solução engenhosa compatível com os modelos de calculadora HP 48GX, 48G+, 19B2, 17B2, 38G, 396, a impressora é uma companheira elegante e compacta, imprimindo até 80 caracteres por segundo (mas frequentemente imprime menos) e utilizando codificação bifásica modulada com correção de erros para precisão, impressão, precisa. ",1986,,"HP - Hewlett-Packard","Estados Unidos: Oregon, Corvallis",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/4/53484_ca_attribute_values_value_blob_6480_large.jpg' width='700' height='933' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/4/39632_ca_attribute_values_value_blob_6481_large.jpg' width='700' height='933' />"
,"TRS-80 MC-10","Guilherme Torquato, Felipe Azambuja, João Pedro Viguini, Pedro Lucas Figueiredo",Computadores,"Foi um computador pessoal lançado pela Tandy Corporation em 1983. Tinha como objetivo ser visto como a ""escolha perfeita"" para iniciantes no uso de computadores.  Seu processador tinha 0.89MHz e possuia uma memória RAM de 4KiB a 20KiB. Além disso, sua resolução de texto era de 16 linhas, com até 32 caracteres por linha. A resolução máxima de gráficos era de 64x32 pixels. ","A ideia principal era fornecer uma plataforma acessível de computação, também contando com uma entrada para cartucho de jogos.",1983,"Não",Tandy Corporation,"Coréia do Sul/EUA","Inoperáveis",,Em Progresso,Sim,"Não",,"Não","<img src='http://143.107.183.188/media/collectiveaccess/images/6/5/89102_ca_attribute_values_value_blob_6535_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/52309_ca_attribute_values_value_blob_6536_large.jpg' width='700' height='525' />"
,324G Scientist,"Grupo 20 - Susy da Costa Dutra, Victor Lucas de Almeida Fernandes, Thiago Shimada, Reynaldo Coronatto Neto",Calculadoras,"A Compucorp 324G Scientist é uma calculadora científica eletrônica portátil que conta com funções para cálculos complexos e possibilidade de programação (até 2 programas, cada um com memória de 80 passos). Foi uma das diversas calculadoras da linha 300 desenvolvida pela Compucorp. Conta com uma tela com display de 12 dígitos. Além disso, possui 42 botões para programar operações matemáticas e fazer cálculos trigonométricos e logarítmicos.  Os programas são armazenados na memória RAM e são perdidos quando a calculadora é desligada, além disso não há maneiras de revisar ou editar o programa. Se algum erro for cometido, todo o processo deverá ser executado do começo. Dimensões: 14cm x 23cm x 7cm","Calculadora utilizada para cálculos trigonométricos e logarítmicos de alta complexidade, contando com memórias programáveis para facilitar tais contas, nas áreas de engenharia, construção, matemática e outros.","1972 - 1975",,"Compucorp (Computer Design Corporation)",Estados Unidos,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/3/6/97097_ca_attribute_values_value_blob_3606_large.jpg' width='700' height='601' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/6/29780_ca_attribute_values_value_blob_3607_large.jpg' width='700' height='920' />"
,Classic 12,"Grupo 20 - Susy da Costa Dutra, Victor Lucas de Almeida Fernandes, Thiago Shimada, Reynaldo Coronatto Neto",Outros,"A Smith-Corona Classic 12 é uma máquina de escrever elétrica com um retorno manual. Ela é portátil e acompanha uma bolsa para transporte. Na época foi nomeada “A máquina de escrever portátil de padrão mais avançado do mundo”. Também conta com teclas para metade de um espaço e uma chave para alternar a pressão aplicada nas teclas, tendo como opções: leve, média e forte. Dimensões: 10,16 cm x 33,02 cm x 43,815 cm.","Máquina de escrever que imprime as teclas digitadas no papel, tornando o processo de escrita mais dinâmico e eficiente. Era utilizada para a digitação de textos simples e documentos, visto que possuía todos os caracteres necessários para isto em seu teclado.","Década de 60",,"Smith-Corona",Estados Unidos,,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/3/2/8407_ca_attribute_values_value_blob_3285_large.jpg' width='700' height='446' />; <img src='http://143.107.183.188/media/collectiveaccess/images/3/2/90368_ca_attribute_values_value_blob_3286_large.jpg' width='700' height='546' />"
,"Presário V410 - 14""","Grupo 3 BSI2021 Eduardo Miranda - Gustavo Martins - Ivan Pinheiro - Thais Sales;",Monitores,"O Compaq Presario V410 é um monitor de tubo de raios catódicos de 14 polegadas, disponível nas cores branca e preta. O display apresenta suporte de até 16.7 milhões de cores, além de possuir uma taxa de atualização vertical de 75 Hz. Sua resolução é de 1024 x 768 pixels com o pixel pitch de 0.28 mm. Ademais, sua entrada de vídeo é VGA (conector fêmea) de 15 pinos. Além disso, o monitor possui aproximadamente 11 quilos e consome 80 Watts, podendo ser ligado a 110V ou 220V em 60Hz.","Apresentar a interface gráfica de um sistema operacional.",1994,,Compaq,"Jaguariúna, SP",,,Em Progresso,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/2/6/16261_ca_attribute_values_value_blob_2673_large.jpg' width='700' height='520' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/76326_ca_attribute_values_value_blob_2674_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/16681_ca_attribute_values_value_blob_2675_large.jpg' width='700' height='525' />; <img src='http://143.107.183.188/media/collectiveaccess/images/2/6/33600_ca_attribute_values_value_blob_2676_large.jpg' width='700' height='525' />"
,"Philco-Ford Telejogo 1977",Grupo 20,Consoles de jogo,"Primeiro console a ser fabricado e vendido no País, o Telejogo consistia numa adaptação do PONG da ATARI. Foi um grande sucesso de vendas, levando ao lançamento de vários similares no mercado, e inclusive uma segunda versão, o TELEJOGO II, lançado em 1978. O jogo possui uma dimensão aproximada de 36x18x11cm, com o peso aproximado de 1,4Kg. Seu circuito interno possuía um circuito integrado modelo MM57100N, com processador de aproximadamente 1MHz.","Um console com saída de vídeo RF, e 2 controladores já acoplados na forma de dial. Possui 3 jogos, Paredão, Futebol, e Tênis. Detalhes em madeira tornam a estrutura mais pesada do que aparenta.",1977,,"Philco-Ford","PHILCO - Brasil",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/8/86622_ca_attribute_values_value_blob_898_large.jpg' width='700' height='357' />; <img src='http://143.107.183.188/media/collectiveaccess/images/8/45882_ca_attribute_values_value_blob_899_large.jpg' width='700' height='662' />"
,Emilia PC,"Ãngelo Guido do Grupo Museu Bot",Impressoras,"Trata-se de uma impressora matricial que possui nove agulhas na vertical, dois motores de passo, um transformador 110-220 V e capacitores eletrolíticos de alta capacidade. Os motores de passo realizam dois movimentos, o motor mais forte faz o movimento do carro de um lado para o outro e o menor move o papel para cima.","Impressão de documentos fiscais, faz um grande volume de impressões. Pode imprimir em papel carbono, o que é útil para documentos.","Década de 90",,"Elebra Informática LTDA","São Paulo – SP",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/2/7282_ca_attribute_values_value_blob_6249_large.jpg' width='700' height='525' />"
,Ultra1,"Grupo: A Trança dos Carecas. Integrantes: Juliana Alves Dos Santos, Fernando Barbosa Leite, Isabela Oliveira Costa e Guilherme Henrique Bueno de Freitas",Computadores,"Processador: UltraSPARC de 64 bits a 143 MHz ou 167 MHz Memória RAM: 32 MB, expansível até 512 MB Disco rígido: 2 GB, expansível até 18 GB Placa gráfica: Creator3D, com resolução máxima de 1280x1024 pixels Conectividade: Ethernet 10/100, porta serial, porta paralela, duas portas SCSI","Ele foi projetado para uso em aplicações de engenharia, design gráfico e outras funções de alto desempenho da época.",1995,,Sun Microsystems,Estados Unidos,,,Em Progresso,,,,,
,M,"Pac-herManos - Gabriel Antunes Afonso de Araujo, Bruno Figueiredo Lima, Emanuel Marques e Gustavo",Calculadoras,"Na época da sua fabricação, era comum os fabricantes, devido ao vencimento de patentes, copiarem modelos de máquinas já consolidadas. Nesse caso, a calculadora NISA é uma cópia de uma calculadora americana, a Monroe LN-160X  A seguir, pela falta de informações da calculadora NISA, será explicado o funcionamento geral da Monroe LN-160X, que se assemelha ao funcionamento da máquina checa. A máquina de calcular Monroe  funciona da seguinte forma: ao teclar um número, um mecanismo movimenta dentes em uma engrenagem correspondente àquele número. Para adicionar ou subtrair o número selecionado, basta girar a manivela com alça cinza à direita, e o valor aparecerá no registro (na segunda fileira de janelas). A manivela pode ser girada várias vezes para multiplicação e divisão, e a fileira superior de janelas conta as voltas da manivela. Para realizar operações em diferentes dezenas, a alça à esquerda movimenta o carrinho.","Como outras calculadoras mecânicas de sua época, a Calculadora Nisa foi desenvolvida para realizar as 4 operações matemáticas básicas: Adição, subtração, divisão e multiplicação. Porém, antes de realizar qualquer cálculo, é necessário zerar os valores no visor da máquina. Primeiro, deve-se zerar esses visores girando a manivela-la zeradora (na direita da máquina) duas vezes no sentido horário e uma no sentido anti-horário, posicionando-a para cima ao fim. Em seguida, deve-se posicionar o carro totalmente à esquerda, girando o manete (alavanca na parte inferior) ou retraindo os liberadores abaixo dele. Assim, a máquina estará pronta para executar qualquer operação. Agora, iremos descrever como realizar cada uma das operações. Adição:  Aperte a tecla de soma/subtração à direita do teclado, digite no teclado o primeiro valor e gire a manivela uma vez (nesse momento o visor superior contara esse valor como uma primeira parcela). Em seguida, digite o segundo valor e gire novamente a manivela no sentido horário. Assim, o visor de cima contará 2 parcelas (indicando que dois valores foram digitados), enquanto o visor de baixos mostrará o resultado. Subtração: O processo seguirá os mesmos passos. Porém, após digitar o segundo valor, deve-se girar a manivela no sentido anti-horário. Multiplicação: Aperte a tecla de multiplicação (localizada abaixo da tecla de soma/subtração), digite o primeiro valor e gire a manivela uma vez no sentido horário. Posteriormente, digite a tecla ""0"" (localizada abaixo da tecla de multiplicação) e, até que atinja o valor da unidade do segundo número, gire a manivela. Caso, esse segundo número tenha valores nas dezenas, deve-se deslocar o carro móvel uma vez para a direita com o manete e girar a manivela quantas vezes o digito da dezena indicar. O mesmo deve ser feito casa o número tenha dígitos nas casas das centenas, milhares, etc... Por fim, o resultado aparecerá no visor de baixo. Divisão: Aperte a tecla de multiplicação, digite o primeiro número e gire a alavanca uma vez no sentido horário. Depois, gire a alavanca zeradora (à esquerda do carro móvel) e zere o teclado com a tecla ""0"", deixando-o pronto para digitar o divisor. Após inseri-lo, retroceda o carro móvel até o menor valor do dividendo (lendo da esquerda para a direita) que for divisível pelo divisor digitado; ou seja, realizaremos um passo a passo similar ao da divisão por chave no papel: Giraremos a manivela no sentido anti-horário até que os dígitos sobre os quais colocamos o carro móvel não possam mais ser divididos e, assim, usaremos o manete para posicioná-lo uma casa à direita, repetindo o processo. Por fim, quando não houver mais parcelas do divisor, o resultado será o valor no visor superior, enquanto o resto, caso houver, aparecerá no visor inferior (pois este nada mais do que a parcela do dividendo que não pode mais ser divisível). ","1954-1956",,NISA,"Checoslováquia",,,Finalizado,,,,,"<img src='http://143.107.183.188/media/collectiveaccess/images/6/5/49916_ca_attribute_values_value_blob_6540_large.jpg' width='700' height='1244' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/80405_ca_attribute_values_value_blob_6541_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/42356_ca_attribute_values_value_blob_6542_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/50691_ca_attribute_values_value_blob_6543_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/95441_ca_attribute_values_value_blob_6544_large.jpg' width='700' height='394' />; <img src='http://143.107.183.188/media/collectiveaccess/images/6/5/8882_ca_attribute_values_value_blob_6545_large.jpg' width='700' height='394' />"
